id;name;surname;country
1;EXE;EXE;Montenegro
2;deliverables Soft Customer;violet;Botswana
3;protocol XSS scalable;Program Multi-tiered Response;Czech Republic
4;Cheese Keyboard;Graphic California;Morocco
5;Palau;disintermediate open;Kuwait
6;XML Computer copying;Steel schemas Liaison;Falkland Islands (Malvinas)
7;interactive;Computers;Croatia
8;copying compressing cross-platform;magenta olive;Puerto Rico
9;Investor;navigating Boliviano;Central African Republic
10;sexy;Table override;Saudi Arabia
